city,timestamp,temperature,season
New York,2010-01-01,-1.1776549604241628,winter
New York,2010-01-02,-4.692483362073203,winter
New York,2010-01-03,4.375672883017047,winter
New York,2010-01-04,-2.249821680656213,winter
New York,2010-01-05,-0.19330510199911402,winter
New York,2010-01-06,-2.458747294677389,winter
New York,2010-01-07,-2.7174608916641203,winter
New York,2010-01-08,1.7034779445474024,winter
New York,2010-01-09,-2.320351249856445,winter
New York,2010-01-10,-4.536733765096318,winter
New York,2010-01-11,2.3606756398900144,winter
New York,2010-01-12,-0.8140981054459033,winter
New York,2010-01-13,-0.2839973863359369,winter
New York,2010-01-14,-2.9546551653847275,winter
New York,2010-01-15,4.548101171688205,winter
New York,2010-01-16,-2.788867789835443,winter
New York,2010-01-17,0.3163438645436113,winter
New York,2010-01-18,1.6143915525699803,winter
New York,2010-01-19,7.325379439008122,winter
New York,2010-01-20,-5.911825033658252,winter
New York,2010-01-21,0.1601916737018796,winter
New York,2010-01-22,11.406254830458305,winter
New York,2010-01-23,8.374428582073497,winter
New York,2010-01-24,-3.4261878556213294,winter
New York,2010-01-25,-0.6683268965546669,winter
New York,2010-01-26,7.081665590615028,winter
New York,2010-01-27,-0.2989778726812348,winter
New York,2010-01-28,-2.4772797876380643,winter
New York,2010-01-29,-5.681776705082729,winter
New York,2010-01-30,6.995209531301766,winter
New York,2010-01-31,-5.544239962970558,winter
New York,2010-02-01,-4.546991897191223,winter
New York,2010-02-02,-3.792180234173161,winter
New York,2010-02-03,-3.1292097336532776,winter
New York,2010-02-04,-2.4955291318842336,winter
New York,2010-02-05,-7.533017675575122,winter
New York,2010-02-06,-2.2419898251918093,winter
New York,2010-02-07,5.420995152024844,winter
New York,2010-02-08,-0.6482138071051002,winter
New York,2010-02-09,12.229711580188738,winter
New York,2010-02-10,-1.5064057584269648,winter
New York,2010-02-11,6.039761298475889,winter
New York,2010-02-12,-1.895590854363752,winter
New York,2010-02-13,4.563621688846961,winter
New York,2010-02-14,2.761685949210484,winter
New York,2010-02-15,1.367177413258083,winter
New York,2010-02-16,8.492803657086125,winter
New York,2010-02-17,8.251149603031575,winter
New York,2010-02-18,-8.02891833973384,winter
New York,2010-02-19,-0.3393778182494828,winter
New York,2010-02-20,-0.0874142861857313,winter
New York,2010-02-21,-3.8660003998231174,winter
New York,2010-02-22,6.963862538326678,winter
New York,2010-02-23,5.787122393837432,winter
New York,2010-02-24,-2.336075440199688,winter
New York,2010-02-25,-4.29650915689252,winter
New York,2010-02-26,3.0558301652196618,winter
